id,epigraph,district,barrio,state
100000905,561005,10,1004,Baja Reunificación
100000907,561006,10,1002,Abierto
100000914,561005,10,1002,Baja Reunificación
100000915,472102,10,1002,Abierto
100000916,472401,10,1004,Abierto
100000919,855002,10,1004,Abierto
100000921,472501,10,1007,Abierto
100000922,471902,10,1004,Abierto
10000093,561006,01,104,Abierto
100000933,472207,10,1004,Abierto
100000937,472911,10,1004,Abierto
100000938,561005,10,1005,Abierto
100000941,477808,10,1004,Abierto
100000943,472102,10,1004,Abierto
100000946,472911,10,1007,Abierto
100000947,742001,10,1007,Abierto
100000954,561005,10,1003,Abierto
100000957,477101,10,1004,Abierto
100000959,472911,10,1002,Abierto
100000961,562903,10,1007,Abierto
100000963,821001,10,1004,Abierto
100000966,472502,10,1004,Abierto
100000968,472901,10,1007,Abierto
10000097,561001,01,104,Abierto
100000970,561004,10,1004,Abierto
100000981,862001,10,1004,Abierto
100000983,472901,10,1005,Abierto
100000984,821001,10,1004,Abierto
100000987,472911,10,1003,Abierto
100000988,862003,10,1007,Abierto
100000992,562902,10,1003,Abierto
100000993,821001,10,1004,Abierto
100000996,561005,10,1002,Abierto
100001004,432001,10,1004,Abierto
100001005,931008,10,1004,Cerrado
100001009,472901,10,1007,Abierto
100001011,476201,10,1004,Cerrado
100001017,931008,10,1004,Cerrado
100001019,472102,10,1001,Abierto
10000102,561006,01,106,Abierto
100001020,561004,10,1004,Abierto
100001024,151001,10,1007,Abierto
100001028,561004,10,1002,Abierto
100001038,471901,10,1006,Baja Reunificación
100001041,471902,10,1003,Abierto
100001049,472403,10,1002,Abierto
10000105,561001,01,104,Abierto
100001054,561001,10,1003,Abierto
100001056,472401,10,1003,Cerrado
100001060,472911,10,1004,Abierto
100001061,472301,10,1004,Abierto
100001062,561005,10,1003,Abierto
100001063,472206,10,1004,Abierto
100001064,855002,10,1002,Cerrado
100001065,960201,10,1005,Abierto
100001070,931003,10,1001,Baja Reunificación
100001071,960101,10,1003,Abierto
100001073,561006,10,1003,Abierto
100001075,477602,10,1007,Abierto
100001096,851001,10,1004,Abierto
100001100,475901,10,1004,Abierto
100001101,851002,10,1003,Cerrado
100001102,472407,10,1005,Abierto
100001103,869003,10,1004,Abierto
100001104,472402,10,1004,Abierto
100001106,452002,10,1004,Abierto
100001107,472402,10,1007,Abierto
100001108,960201,10,1002,Abierto
100001112,471101,10,1002,Abierto
100001113,562902,10,1003,Abierto
100001114,561004,10,1004,Abierto
100001118,452002,10,1004,Abierto
100001122,561001,10,1006,Abierto
100001124,477701,10,1002,Abierto
100001126,851001,10,1003,Abierto
100001127,472204,10,1002,Abierto
100001131,562902,10,1007,Abierto
100001132,561004,10,1004,Abierto
100001144,931010,10,1001,Baja Reunificación
100001147,472201,10,1004,Abierto
100001152,472201,10,1007,Abierto
100001153,472102,10,1001,Abierto
100001156,561005,10,1007,Abierto
10000116,477501,01,105,Abierto
100001160,476201,10,1004,Abierto
100001161,561005,10,1002,Cerrado
100001163,472401,10,1003,Abierto
100001167,471902,10,1003,Abierto
100001168,471902,10,1003,Abierto
100001173,561001,10,1002,Abierto
100001174,561001,10,1007,Abierto
100001175,477808,10,1004,Abierto
100001177,561004,10,1007,Abierto
100001179,561001,10,1003,Abierto
100001180,472401,10,1007,Abierto
100001181,472102,10,1007,Abierto
100001183,475901,10,1004,Abierto
100001186,477808,10,1004,Abierto
100001190,960201,10,1007,Abierto
100001192,855002,10,1004,Abierto
100001195,471101,10,1004,Abierto
100001197,477601,10,1006,Abierto
100001198,960101,10,1002,Cerrado
100001202,562902,10,1005,Abierto
100001204,563002,10,1004,Cerrado
100001207,472905,10,1005,Abierto
100001228,561005,10,1007,Abierto
100001231,471101,10,1005,Abierto
100001235,471101,10,1004,Abierto
100001236,854003,10,1003,Abierto
100001237,561001,10,1004,Abierto
100001242,561006,10,1003,Abierto
100001243,862003,10,1004,Abierto
100001249,471101,10,1007,Abierto
100001250,692001,10,1007,Abierto
100001251,683001,10,1004,Abierto
100001252,472911,10,1005,Abierto
100001255,960201,10,1004,Abierto
100001259,561005,10,1003,Abierto
100001261,472401,10,1004,Abierto
100001268,960203,10,1002,Abierto
100001275,477201,10,1007,Cerrado
100001276,561005,10,1004,Abierto
100001278,869007,10,1007,Abierto
100001284,960201,10,1007,Abierto
100001286,472102,10,1007,Baja Reunificación
100001287,472102,10,1003,Abierto
100001288,952002,10,1007,Abierto
100001290,561001,10,1004,Abierto
100001293,472206,10,1007,Cerrado
100001298,472201,10,1007,Abierto
100001299,683001,10,1004,Abierto
100001301,862001,10,1004,Abierto
100001307,471101,10,1003,Abierto
100001309,477201,10,1003,Baja Reunificación
100001318,477101,10,1003,Cerrado
100001320,477501,10,1003,Abierto
100001326,472903,10,1004,Abierto
100001331,821001,10,1002,Abierto
100001335,683001,10,1004,Abierto
100001336,561006,10,1004,Abierto
100001341,561006,10,1004,Abierto
100001344,610002,10,1004,Cerrado
100001346,472911,10,1007,Abierto
100001347,561004,10,1001,Abierto
100001348,563005,10,1002,Abierto
100001355,960201,10,1005,Abierto
100001356,610002,10,1005,Abierto
100001357,561005,10,1004,Abierto
100001359,472402,10,1007,Cerrado
100001362,563007,10,1004,Abierto
100001364,610002,10,1002,Abierto
100001365,960201,10,1005,Abierto
100001366,821001,10,1005,Abierto
100001368,960201,10,1007,Abierto
100001371,561005,10,1002,Abierto
100001372,561001,10,1004,Abierto
100001373,949101,10,1003,Abierto
100001378,960203,10,1007,Abierto
100001379,960201,10,1007,Abierto
100001384,851001,10,1003,Abierto
100001386,521001,10,1004,Abierto
100001387,821001,10,1004,Cerrado
100001388,960201,10,1004,Abierto
100001390,472601,10,1004,Abierto
100001391,960201,10,1007,Abierto
100001392,960201,10,1004,Abierto
100001393,960201,10,1003,Abierto
100001394,960202,10,1003,Abierto
100001395,931008,10,1006,Abierto
100001397,960201,10,1004,Abierto
100001398,960201,10,1007,Abierto
100001401,475905,10,1004,Abierto
100001403,960201,10,1004,Abierto
100001404,960201,10,1004,Cerrado
100001406,960201,10,1004,Abierto
100001407,960203,10,1004,Abierto
100001409,960201,10,1004,Abierto
100001410,960201,10,1004,Abierto
100001411,960201,10,1002,Abierto
100001412,471101,10,1002,Abierto
100001413,960201,10,1007,Cerrado
100001414,960201,10,1004,Abierto
100001416,855002,10,1004,Abierto
100001421,561005,10,1002,Abierto
100001425,960201,10,1004,Abierto
100001427,472202,10,1007,Abierto
100001428,551005,10,1002,Abierto
100001434,472911,10,1002,Abierto
100001435,471101,10,1007,Abierto
100001436,960201,10,1007,Abierto
100001438,472402,10,1007,Abierto
100001441,561005,10,1005,Abierto
100001448,932006,10,1001,Abierto
100001450,561004,10,1001,Abierto
100001451,561005,10,1004,Abierto
100001452,477101,10,1004,Cerrado
100001456,960201,10,1004,Abierto
100001459,960201,10,1007,Abierto
100001462,960201,10,1002,Abierto
100001467,960201,10,1004,Abierto
100001468,472102,10,1002,Cerrado
100001470,561005,10,1002,Abierto
100001476,472901,10,1003,Abierto
100001477,960901,10,1002,Abierto
100001481,471101,10,1003,Abierto
100001482,960203,10,1007,Abierto
100001487,472102,10,1003,Abierto
100001490,932005,10,1004,Abierto
100001493,472911,10,1002,Abierto
10000150,561005,01,106,Abierto
100001503,472907,10,1004,Abierto
100001504,471104,10,1007,Abierto
100001508,477806,10,1005,Abierto
100001509,960201,10,1001,Abierto
100001512,960201,10,1004,Abierto
100001514,471901,10,1002,Abierto
100001515,960901,10,1002,Abierto
100001517,862003,10,1004,Abierto
100001518,561005,10,1007,Abierto
100001519,960203,10,1003,Abierto
100001522,750002,10,1002,Abierto
100001525,562902,10,1007,Abierto
100001526,561005,10,1002,Abierto
100001528,862003,10,1005,Abierto
100001532,750002,10,1003,Cerrado
100001534,563005,10,1001,Abierto
100001540,331001,10,1003,Abierto
100001551,960201,10,1002,Abierto
100001553,472402,10,1007,Abierto
100001554,801001,10,1004,Abierto
100001560,563003,10,1004,Abierto
100001563,750002,10,1007,Abierto
100001564,477806,10,1002,Abierto
100001565,477301,10,1006,Abierto
100001568,960203,10,1004,Abierto
100001569,325001,10,1003,Abierto
100001570,561005,10,1002,Abierto
100001575,439001,10,1002,Abierto
100001576,477101,10,1004,Cerrado
100001577,472911,10,1004,Abierto
100001578,862001,10,1006,Abierto
100001579,477101,10,1004,Baja Reunificación
