local_id,change,old,new
285022386,epigraph_changed,521001|12|1207|Abierto,475201|12|1207|Abierto
285022437,epigraph_changed,463902|12|1207|Abierto,463906|12|1207|Abierto
285023084,epigraph_changed,nan|11|1101|Cerrado,869007|11|1101|Cerrado
285023430,epigraph_changed,561005|11|1102|Abierto,561006|11|1102|Abierto
285023445,epigraph_changed,472401|11|1102|Abierto,472911|11|1102|Abierto
285024196,epigraph_changed,nan|11|1103|Cerrado,472403|11|1103|Cerrado
285024920,epigraph_changed,561006|11|1104|Abierto,561005|11|1104|Abierto
285025181,epigraph_changed,960201|11|1104|Abierto,960203|11|1104|Abierto
285025512,epigraph_changed,471902|11|1104|Abierto,471104|11|1104|Abierto
285025554,epigraph_changed,951001|11|1104|Abierto,477901|11|1104|Abierto
285025845,epigraph_changed,931008|11|1104|Abierto,855002|11|1104|Abierto
285026289,epigraph_changed,471101|11|1105|Abierto,471902|11|1105|Abierto
285026972,epigraph_changed,nan|11|1106|Cerrado,559002|11|1106|Cerrado
285027163,epigraph_changed,nan|11|1102|Abierto,551005|11|1102|Abierto
285027236,epigraph_changed,692001|11|1107|Abierto,821001|11|1107|Abierto
285027292,epigraph_changed,331001|11|1107|Abierto,472911|11|1107|Abierto
285027513,epigraph_changed,472404|11|1106|Abierto,472401|11|1106|Abierto
285027613,epigraph_changed,472404|11|1104|Abierto,472401|11|1104|Abierto
285027725,epigraph_changed,521001|11|1105|Abierto,452002|11|1105|Abierto
285027877,epigraph_changed,475201|14|1401|Cerrado,683001|14|1401|Cerrado
285027989,state_changed,472911|14|1403|Abierto,472911|14|1403|Cerrado
285028217,epigraph_changed,691001|14|1404|Cerrado,691002|14|1404|Cerrado
285029000,epigraph_changed,610002|17|1701|Abierto,477901|17|1701|Abierto
285031241,epigraph_changed,821001|17|1701|Abierto,521001|17|1701|Abierto
285031855,epigraph_changed,561002|18|1801|Abierto,561001|18|1801|Abierto
285031907,epigraph_changed,nan|18|1801|Cerrado,552001|18|1801|Cerrado
285032557,epigraph_changed,000000|18|1801|Abierto,432001|18|1801|Abierto
285032729,state_changed,472401|18|1803|Abierto,472401|18|1803|Cerrado
285032805,epigraph_changed,561006|18|1803|Abierto,932001|18|1803|Abierto
285032820,epigraph_changed,472204|18|1803|Abierto,472207|18|1803|Abierto
285032979,epigraph_changed,000000|18|1803|Cerrado,477501|18|1803|Cerrado
285033169,epigraph_changed,474201|19|1901|Abierto,960203|19|1901|Abierto
285033227,epigraph_changed,471101|19|1901|Cerrado,472101|19|1901|Cerrado
285033706,epigraph_changed,475903|19|1901|Cerrado,475202|19|1901|Cerrado
285033905,state_changed,472908|13|1301|Abierto,000000|13|1301|Cerrado
285034409,epigraph_changed,472405|13|1302|Cerrado,472901|13|1302|Cerrado
285034449,epigraph_changed,nan|13|1302|Cerrado,000000|13|1302|Cerrado
285034854,epigraph_changed,nan|13|1302|Cerrado,551005|13|1302|Cerrado
285035032,epigraph_changed,nan|13|1302|Cerrado,952003|13|1302|Cerrado
285035106,epigraph_changed,000000|13|1302|Cerrado,551005|13|1302|Cerrado
285035111,epigraph_changed,463101|13|1302|Abierto,960201|13|1302|Abierto
285035136,epigraph_changed,551005|13|1302|Abierto,559003|13|1302|Abierto
