metric_id,geo_id,geo_level,period,value,unit,source_id,observation_end,published_at,fetched_at,quality_flag,revision,prior_value,reason
euro_unemployment,euro-area,euro_area,2009-02,9,percent,ecb,2009-02-28,,2026-09-08,ok,0,9.1,unexpected_revision
euro_unemployment,euro-area,euro_area,2024-02,6.6,percent,ecb,2024-02-29,,2026-09-08,ok,0,6.5,unexpected_revision
euro_unemployment,euro-area,euro_area,2024-11,6.3,percent,ecb,2024-11-30,,2026-09-08,ok,0,6.2,unexpected_revision
euro_unemployment,euro-area,euro_area,2025-07,6.3,percent,ecb,2025-07-31,,2026-09-08,ok,0,6.4,unexpected_revision
euro_unemployment,euro-area,euro_area,2025-11,6.4,percent,ecb,2025-11-30,,2026-09-08,ok,0,6.3,unexpected_revision
euro_unemployment,euro-area,euro_area,2025-12,6.4,percent,ecb,2025-12-31,,2026-09-08,ok,0,6.3,unexpected_revision
euro_unemployment,euro-area,euro_area,2026-01,6.4,percent,ecb,2026-01-31,,2026-09-08,ok,0,6.3,unexpected_revision
euro_unemployment,euro-area,euro_area,2026-02,6.5,percent,ecb,2026-02-28,,2026-09-08,ok,0,6.4,unexpected_revision
euro_unemployment,euro-area,euro_area,2026-05,6.4,percent,ecb,2026-05-31,,2026-09-08,ok,0,6.3,unexpected_revision
euro_unemployment,euro-area,euro_area,2026-06,6.4,percent,ecb,2026-06-30,,2026-09-08,ok,0,6.3,unexpected_revision
