metric_id,geo_id,geo_level,period,value,unit,source_id,observation_end,published_at,fetched_at,quality_flag,revision,prior_value,reason
job_postings_index,es,nation,2022-11,155.79,index,indeed,2022-11-30,,2026-07-29,ok,0,155.83,unexpected_revision
job_postings_index,es,nation,2022-12,154.39,index,indeed,2022-12-31,,2026-07-29,ok,0,154.51,unexpected_revision
job_postings_index,es,nation,2023-01,150.27,index,indeed,2023-01-31,,2026-07-29,ok,0,150.33,unexpected_revision
job_postings_index,es,nation,2023-02,150.39,index,indeed,2023-02-28,,2026-07-29,ok,0,150.43,unexpected_revision
job_postings_index,es,nation,2023-03,157.79,index,indeed,2023-03-31,,2026-07-29,ok,0,157.8,unexpected_revision
job_postings_index,es,nation,2022-11,155.79,index,indeed,2022-11-30,,2026-07-29,ok,0,155.83,unexpected_revision
job_postings_index,es,nation,2022-12,154.39,index,indeed,2022-12-31,,2026-07-29,ok,0,154.51,unexpected_revision
job_postings_index,es,nation,2023-01,150.27,index,indeed,2023-01-31,,2026-07-29,ok,0,150.33,unexpected_revision
job_postings_index,es,nation,2023-02,150.39,index,indeed,2023-02-28,,2026-07-29,ok,0,150.43,unexpected_revision
job_postings_index,es,nation,2023-03,157.79,index,indeed,2023-03-31,,2026-07-29,ok,0,157.8,unexpected_revision
job_postings_index,es,nation,2022-11,155.79,index,indeed,2022-11-30,,2026-08-01,ok,0,155.83,unexpected_revision
job_postings_index,es,nation,2022-12,154.39,index,indeed,2022-12-31,,2026-08-01,ok,0,154.51,unexpected_revision
job_postings_index,es,nation,2023-01,150.27,index,indeed,2023-01-31,,2026-08-01,ok,0,150.33,unexpected_revision
job_postings_index,es,nation,2023-02,150.39,index,indeed,2023-02-28,,2026-08-01,ok,0,150.43,unexpected_revision
job_postings_index,es,nation,2023-03,157.79,index,indeed,2023-03-31,,2026-08-01,ok,0,157.8,unexpected_revision
job_postings_index,es,nation,2022-11,155.79,index,indeed,2022-11-30,,2026-08-04,ok,0,155.83,unexpected_revision
job_postings_index,es,nation,2022-12,154.39,index,indeed,2022-12-31,,2026-08-04,ok,0,154.51,unexpected_revision
job_postings_index,es,nation,2023-01,150.27,index,indeed,2023-01-31,,2026-08-04,ok,0,150.33,unexpected_revision
job_postings_index,es,nation,2023-02,150.39,index,indeed,2023-02-28,,2026-08-04,ok,0,150.43,unexpected_revision
job_postings_index,es,nation,2023-03,157.79,index,indeed,2023-03-31,,2026-08-04,ok,0,157.8,unexpected_revision
job_postings_index,es,nation,2021-08,104.93,index,indeed,2021-08-31,,2026-08-11,ok,0,105.69,unexpected_revision
job_postings_index,es,nation,2022-11,155.79,index,indeed,2022-11-30,,2026-08-11,ok,0,155.83,unexpected_revision
job_postings_index,es,nation,2022-12,154.39,index,indeed,2022-12-31,,2026-08-11,ok,0,154.51,unexpected_revision
job_postings_index,es,nation,2023-01,150.27,index,indeed,2023-01-31,,2026-08-11,ok,0,150.33,unexpected_revision
job_postings_index,es,nation,2023-02,150.39,index,indeed,2023-02-28,,2026-08-11,ok,0,150.43,unexpected_revision
job_postings_index,es,nation,2023-03,157.79,index,indeed,2023-03-31,,2026-08-11,ok,0,157.8,unexpected_revision
job_postings_index,es,nation,2026-07,141.87,index,indeed,2026-07-31,,2026-08-11,ok,0,143.63,unexpected_revision
job_postings_index,es,nation,2022-11,155.79,index,indeed,2022-11-30,,2026-08-18,ok,0,155.83,unexpected_revision
job_postings_index,es,nation,2022-12,153.38,index,indeed,2022-12-31,,2026-08-18,ok,0,154.51,unexpected_revision
job_postings_index,es,nation,2023-01,150.27,index,indeed,2023-01-31,,2026-08-18,ok,0,150.33,unexpected_revision
job_postings_index,es,nation,2023-02,150.39,index,indeed,2023-02-28,,2026-08-18,ok,0,150.43,unexpected_revision
job_postings_index,es,nation,2023-03,157.79,index,indeed,2023-03-31,,2026-08-18,ok,0,157.8,unexpected_revision
job_postings_index,es,nation,2026-07,141.87,index,indeed,2026-07-31,,2026-08-18,ok,0,143.63,unexpected_revision
